,TRUE,Angela 1,Angela 2,Angela 3,Angela 4,Dave,Joe,Bert
q,0.765,0.77,0.76,0.76,0.77,0.85,0.6,1.0548
,0,0.01,0.01,0.01,0.0055,0.03,,0.0008
incl,87.3,87.37,87.37,87.35,87.34,84.8,87,89.71
,0,0.045,0.05,0.045,0.065,0.5,,0.01
T1,6332,6428,6372,6413,6371,,,
,0,43,50.5,50,52,,,
T2/T1,0.8678,0.865,0.866,0.866,0.866,0.7,0.8,0.8687
,0,0.001,0.001,0.001,0.001,0.2,,0.0002
r1+r2,0.3817,0.3809,0.381,0.381,0.381,0.39,0.415,0.386
,0,0.0003,0.0003,0,0,0.01,0,0.0003
r2/r1,0.6394,0.6407,0.6406,0.6408,0.6408,0.69,0.715,0.6667
,0,0.0005,0.0005,0,0,0.03,0,0.0002
esinw,0.1379,0.1399,0.139,0.1399,0.1395,0.129,0.03,0.1343
,0,0,0.001,0,0.0007,0.001,,0.0005
ecosw,0.0339,0.0341,0.03395,0.0341,0.03394,0.034,-0.0137,0.034
,0,0,5E-05,0,6E-05,0.001,,0.0001
plbum,12.5664,12.565,12.565,12.563,12.562,,,11.655
,0,0.004,0.004,0.004,0.005,,,0.001
l3,0,5E-05,5E-05,5E-05,5E-05,0,0,0.0587
,0,7E-05,4.5E-05,5.5E-05,0.00015,0,0,0.0009
